gender,education,age,country,results_count,effective_sample_size,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,alreadytaken
all,Secondary School,all,EE,1297,517.552,0.457754184,0.237958555,0.30428726,0
all,College/University,all,EE,2120,890.462,0.515717245,0.228264354,0.256018401,0
all,Graduate School,all,EE,872,359.291,0.569388712,0.203807483,0.226803805,0
all,Graduate School,all,ES,777,468.28,0.549223013,0.150338236,0.300438751,0
all,College/University,all,ES,2270,1260.604,0.550873359,0.160328776,0.288797865,0
all,Secondary School,all,ES,2396,1531.38,0.530173749,0.182787721,0.28703853,0
all,Primary School,all,ES,615,399.226,0.529979684,0.141764741,0.328255575,0
all,Less Than Primary School,all,FR,190,156.228,0.382130591,0.424634537,0.161094808,0.032140064
all,Primary School,all,FR,2142,1510.057,0.472722364,0.244148242,0.260743178,0.022386216
all,Secondary School,all,FR,24329,18230.176,0.385463526,0.320651051,0.278966586,0.014918837
all,College/University,all,FR,15124,10536.569,0.461681482,0.268912923,0.25417953,0.015226065
all,Graduate School,all,FR,21781,14555.215,0.498978075,0.233806866,0.247637649,0.01957741
all,College/University,all,GB,31414,18394.446,0.679900661,0.10471384,0.142615766,0.072769734
all,Graduate School,all,GB,12910,2569.655,0.726712815,0.088782475,0.108338007,0.076166702
all,Secondary School,all,GB,16423,9611.928,0.672841021,0.097708875,0.140186721,0.089263383
all,Primary School,all,GB,332,252.761,0.538286532,0.199381736,0.189605991,0.072725741
all,Less Than Primary School,all,GB,113,80.116,0.56638529,0.238879318,0.126475792,0.0682596
all,Primary School,all,GE,51,26.06,0.483731828,0.341995724,0.174272448,0
all,Secondary School,all,GE,526,305.168,0.337529805,0.396896015,0.26557418,0
all,College/University,all,GE,3050,1198.494,0.371988656,0.315821547,0.312189797,0
all,Graduate School,all,GE,1372,563.476,0.469608008,0.246582704,0.283809288,0
all,Graduate School,all,GH,1067,424.135,0.532117482,0.250712473,0.217170045,0
all,College/University,all,GH,2835,1187.447,0.579010075,0.238940015,0.18204991,0
all,Secondary School,all,GH,1531,795.79,0.538709865,0.255783769,0.205506366,0
all,Primary School,all,GH,82,53.174,0.555793283,0.263467023,0.180739694,0
all,Primary School,all,GT,320,224.374,0.656318873,0.120685223,0.222995904,0
all,Secondary School,all,GT,2300,1324.397,0.731547067,0.09434768,0.174105252,0
all,College/University,all,GT,2707,1407.013,0.74751921,0.095089668,0.157391122,0
all,Graduate School,all,GT,553,281.634,0.707683014,0.136914189,0.155402796,0
all,Primary School,all,HN,447,350.217,0.664590105,0.119963265,0.21544663,0
all,Secondary School,all,HN,2159,1428.438,0.683284169,0.106752677,0.209963154,0
all,College/University,all,HN,2450,1518.877,0.737201829,0.098574914,0.164223258,0
all,Graduate School,all,HN,371,190.236,0.704543788,0.145962842,0.14949337,0
all,Graduate School,all,ID,5287,2566.464,0.564530264,0.203660454,0.212636063,0.019173219
all,College/University,all,ID,35046,18233.748,0.550683473,0.197048742,0.237944894,0.014322892
all,Secondary School,all,ID,17086,9585.315,0.509676401,0.193181792,0.290694502,0.006447304
all,Primary School,all,ID,2191,1342.663,0.467858155,0.199851514,0.323403755,0.008886576
all,Less Than Primary School,all,ID,392,225.403,0.391513179,0.313327919,0.284043835,0.011115067
all,Less Than Primary School,all,IN,609,282.458,0.701872952,0.123323954,0.142964212,0.031838881
all,Primary School,all,IN,1032,419.396,0.629430705,0.168269557,0.180086685,0.022213053
all,Secondary School,all,IN,6546,2259.267,0.704485961,0.12813818,0.151934354,0.015441505
all,College/University,all,IN,31010,9040.218,0.726541779,0.106426228,0.146712414,0.020319579
all,Graduate School,all,IN,22151,5964.978,0.737387983,0.102104071,0.139181007,0.021326939
all,Graduate School,all,IQ,537,218.634,0.603073671,0.214694514,0.182231815,0
all,College/University,all,IQ,3367,1334.738,0.664136813,0.158728216,0.177134971,0
all,Secondary School,all,IQ,1251,529.651,0.637817358,0.186450454,0.175732188,0
all,Primary School,all,IQ,213,94.403,0.625074301,0.166042834,0.208882865,0
all,Less Than Primary School,all,IT,441,267.451,0.62847816,0.150235074,0.203951663,0.017335104
all,Primary School,all,IT,3424,2304.807,0.628988544,0.142776253,0.218576116,0.009659088
all,Secondary School,all,IT,31490,19559.837,0.649182137,0.127688963,0.207729161,0.015399738
all,College/University,all,IT,14333,6191.206,0.6645181,0.125620664,0.183392427,0.026468809
all,Graduate School,all,IT,13772,7486.098,0.727604054,0.096915806,0.139170778,0.036309362
