gender,age,country,results_count,effective_sample_size,vaccine_accept_yes,vaccine_accept_no,vaccine_accept_dontknow,education
all,all,FR,63855,44239.81,0.441426479,0.279003362,0.262666466,Secondary School
all,all,JP,61307,21949.182,0.573970345,0.106539625,0.317765251,Secondary School
all,all,MN,3687,1243.663,0.689091094,0.122088292,0.188820613,Secondary School
all,all,SN,3959,1853.477,0.392959331,0.360188684,0.246851986,Secondary School
all,all,AF,4914,1144.832,0.777215042,0.096116828,0.12666813,Secondary School
all,all,GE,5047,2065.537,0.390703429,0.312124703,0.297171868,Secondary School
all,all,MX,59287,29438.144,0.718497429,0.099325996,0.175932299,Secondary School
all,all,BR,60785,36809.947,0.759525233,0.093968927,0.137129606,Secondary School
all,all,AR,61354,32960.962,0.641381307,0.13949645,0.20572641,Secondary School
all,all,PH,58723,24749.799,0.49607614,0.21595883,0.285472393,Secondary School
all,all,VE,6351,4384.111,0.67967284,0.117102384,0.203224776,Secondary School
all,all,SG,5259,3361.884,0.672913943,0.125580537,0.20150552,Secondary School
all,all,MA,5706,2211.345,0.443255792,0.254033724,0.302710484,Secondary School
all,all,IT,63676,35583.687,0.663675023,0.123808458,0.191510832,Secondary School
all,all,ID,61706,33444.599,0.531204191,0.196995243,0.259889257,Secondary School
all,all,TH,62509,37748.037,0.749941195,0.112332979,0.136298032,Secondary School
all,all,TW,4216,1619.509,0.604256796,0.167693239,0.228049965,Secondary School
all,all,PL,66043,41802.659,0.457699411,0.278282158,0.241261498,Secondary School
all,all,RO,63325,32949.364,0.469113019,0.272237731,0.220787542,Secondary School
all,all,ES,6111,3715.325,0.541898575,0.165135889,0.292965536,Secondary School
all,all,JM,4522,3102.8,0.311203651,0.339946493,0.348849856,Secondary School
all,all,MM,5492,1817.105,0.826907802,0.065922409,0.107169789,Secondary School
all,all,CO,61028,35727.129,0.650709395,0.146688939,0.200478346,Secondary School
all,all,BD,57442,13480.076,0.770398488,0.083526857,0.110799267,Secondary School
all,all,CI,5394,2040.695,0.495809711,0.258151831,0.246038458,Secondary School
all,all,TR,62632,27514.947,0.520873781,0.201620854,0.257007499,Secondary School
all,all,PK,56461,16697.844,0.645814448,0.172515739,0.173968419,Secondary School
all,all,PE,5873,3473.189,0.712008279,0.113367376,0.174624346,Secondary School
all,all,TT,5715,2852.901,0.469852081,0.217881638,0.31226628,Secondary School
